image_path,label,original_imagenet_label
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00004939.JPEG,church,"church, church building"
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00024897.JPEG,church,"church, church building"
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00030901.JPEG,plate,plate
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00037095.JPEG,plate,plate
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00037234.JPEG,desk,desk
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00044974.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00013674.JPEG,plate,plate
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00011003.JPEG,desk,desk
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00019331.JPEG,church,"church, church building"
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00016932.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00024184.JPEG,plate,plate
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00019796.JPEG,desk,desk
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00014581.JPEG,plate,plate
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00026624.JPEG,desk,desk
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00035822.JPEG,kimono,kimono
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00017783.JPEG,church,"church, church building"
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00010773.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00019711.JPEG,church,"church, church building"
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00033568.JPEG,church,"church, church building"
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00039997.JPEG,plate,plate
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00047695.JPEG,kimono,kimono
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00042264.JPEG,church,"church, church building"
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00030981.JPEG,desk,desk
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00049943.JPEG,church,"church, church building"
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00007076.JPEG,plate,plate
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00015155.JPEG,church,"church, church building"
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00006423.JPEG,desk,desk
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00042089.JPEG,desk,desk
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00044790.JPEG,plate,plate
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00012426.JPEG,desk,desk
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00019697.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00018970.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00011207.JPEG,desk,desk
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00043499.JPEG,plate,plate
/datasets/imagenet/validation/n03028079/ILSVRC2012_val_00034021.JPEG,church,"church, church building"
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00047516.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00024153.JPEG,desk,desk
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00004014.JPEG,kimono,kimono
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00043088.JPEG,plate,plate
/datasets/imagenet/validation/n07579787/ILSVRC2012_val_00016597.JPEG,plate,plate
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00030754.JPEG,kimono,kimono
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00029199.JPEG,kimono,kimono
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00004848.JPEG,kimono,kimono
/datasets/imagenet/validation/n03617480/ILSVRC2012_val_00011859.JPEG,kimono,kimono
/datasets/imagenet/validation/n04192698/ILSVRC2012_val_00005679.JPEG,shield,"shield, buckler"
/datasets/imagenet/validation/n03179701/ILSVRC2012_val_00008518.JPEG,desk,desk
