dataset_name,db_id,accuracy
llama3.1-8b_1000_few-shot_bg_test-time-info_v1,app_store,46.03
llama3.1-8b_1000_few-shot_bg_test-time-info_v1,computer_student,47.22
llama3.1-8b_1000_few-shot_bg_test-time-info_v1,movie_platform,50.9
llama3.1-8b_1000_few-shot_bg_v1,app_store,39.68
llama3.1-8b_1000_few-shot_bg_v1,computer_student,50.00
llama3.1-8b_1000_few-shot_bg_v1,movie_platform,44.31
llama3.1-8b_1000_zero-shot_bg_test-time-info_v1,app_store,20.63
llama3.1-8b_1000_zero-shot_bg_test-time-info_v1,computer_student,40.28
llama3.1-8b_1000_zero-shot_bg_test-time-info_v1,movie_platform,38.32
llama3.1-8b_1000_zero-shot_bg_v1,app_store,22.22
llama3.1-8b_1000_zero-shot_bg_v1,computer_student,36.11
llama3.1-8b_1000_zero-shot_bg_v1,movie_platform,37.72
qwen2.5-coder-7b_1000_zero-shot_bg_v1,app_store,22.22
qwen2.5-coder-7b_1000_zero-shot_bg_v1,computer_student,50
qwen2.5-coder-7b_1000_zero-shot_bg_v1,movie_platform,16.77
qwen2.5-coder-7b_1000_zero-shot_bg_test-time-info_v1,app_store,25.4
qwen2.5-coder-7b_1000_zero-shot_bg_test-time-info_v1,computer_student,48.61
qwen2.5-coder-7b_1000_zero-shot_bg_test-time-info_v1,movie_platform,20.36
qwen2.5-coder-7b_1000_few-shot_bg_v1,app_store,31.75
qwen2.5-coder-7b_1000_few-shot_bg_v1,computer_student,45.83
qwen2.5-coder-7b_1000_few-shot_bg_v1,movie_platform,46.11
qwen2.5-coder-7b_1000_few-shot_bg_test-time-info_v1,app_store,34.92
qwen2.5-coder-7b_1000_few-shot_bg_test-time-info_v1,computer_student,48.61
qwen2.5-coder-7b_1000_few-shot_bg_test-time-info_v1,movie_platform,43.71
